Timestamp,Network Coherence,Devices,envelope
1710646200,-0.9526,232,4.023886187
1710646201,-0.717,232,5.377758908
1710646202,1.0879,232,6.348403604
1710646203,-0.0287,232,7.143286782
1710646204,0.3534,232,7.832501994
1710646205,-0.4181,232,8.449375335
1710646206,-0.9588,232,9.012764275
1710646207,-0.9126,232,9.534546139
1710646208,-0.7377,232,10.0227678
1710646209,0.1701,232,10.48317735
1710646210,1.6881,232,10.92004926
1710646211,0.5675,232,11.33666416
1710646212,0.7368,232,11.73560488
1710646213,0.8315,232,12.11894805
1710646214,-0.7189,232,12.48839286
1710646215,-0.9985,232,12.84535072
1710646216,0.3797,232,13.19100912
1710646217,-0.6121,232,13.52637844
1710646218,-0.436,232,13.85232686
1710646219,-0.9202,232,14.1696069
1710646220,-0.984,232,14.47887591
1710646221,-0.989,232,14.78071208
1710646222,0.8674,232,15.07562725
1710646223,1.0909,232,15.36407703
1710646224,-0.9173,232,15.64646912
1710646225,-0.348,232,15.9231701
1710646226,-0.4576,232,16.19451097
1710646227,-0.9624,232,16.46079184
1710646228,-0.6335,232,16.7222858
1710646229,-0.3231,232,16.97924224
1710646230,-0.9978,232,17.23188959
1710646231,-0.9307,232,17.48043774
1710646232,-0.3999,232,17.72508007
1710646233,-0.6823,232,17.9659952
1710646234,0.8089,232,18.20334854
1710646235,-0.8163,232,18.43729363
1710646236,-0.8125,232,18.66797326
1710646237,0.0225,232,18.89552054
1710646238,3.7383,232,19.12005973
1710646239,0.324,232,19.34170714
1710646240,-0.3427,232,19.56057173
1710646241,-0.9932,232,19.77675581
1710646242,-0.7367,232,19.99035553
1710646243,2.5364,232,20.20146147
1710646244,-0.0751,232,20.41015901
1710646245,-0.8694,232,20.61652877
1710646246,-0.04,232,20.82064698
1710646247,-0.4902,232,21.02258579
1710646248,-0.7514,232,21.22241357
1710646249,0.6058,232,21.42019519
1710646250,-0.9979,232,21.61599227
1710646251,-0.9021,232,21.8098634
1710646252,2.2921,232,22.00186432
1710646253,-0.9996,232,22.19204817
1710646254,5.2733,232,22.38046558
1710646255,-0.8272,232,22.56716489
1710646256,-0.9017,232,22.75219228
1710646257,-0.628,232,22.93559189
1710646258,-0.9421,232,23.11740594
1710646259,-0.8619,232,23.29767488
1710646260,-0.9528,232,23.47643744
1710646261,-0.8119,232,23.65373079
1710646262,-0.7279,232,23.82959057
1710646263,2.0893,232,24.00405101
1710646264,-0.9009,232,24.177145
1710646265,-0.656,232,24.34890416
1710646266,2.9827,232,24.51935891
1710646267,1.9194,232,24.68853854
1710646268,2.1426,232,24.85647124
1710646269,-0.5537,232,25.02318419
1710646270,-0.9201,232,25.1887036
1710646271,0.2136,232,25.35305474
1710646272,0.2804,232,25.51626201
1710646273,-0.8185,232,25.67834898
1710646274,1.3875,232,25.8393384
1710646275,-0.8772,232,25.99925228
1710646276,-0.9997,232,26.1581119
1710646277,2.0686,232,26.31593784
1710646278,-0.4128,232,26.47275002
1710646279,-0.6306,232,26.62856773
1710646280,9.1586,232,26.78340967
1710646281,-0.9092,232,26.93729393
1710646282,1.0846,232,27.09023807
1710646283,0.2435,232,27.24225913
1710646284,1.8409,232,27.39337362
1710646285,-0.3734,232,27.54359756
1710646286,-0.7612,232,27.69294652
1710646287,1.2187,232,27.84143562
1710646288,1.7321,232,27.98907954
1710646289,-0.0286,232,28.13589256
1710646290,-0.7266,232,28.28188855
1710646291,-0.7038,232,28.42708099
1710646292,0.6453,232,28.57148303
1710646293,-0.6773,232,28.71510742
1710646294,-0.9995,232,28.8579666
1710646295,0.3319,232,29.00007268
1710646296,2.1634,232,29.14143744
1710646297,-0.7976,232,29.28207236
1710646298,4.9582,232,29.42198864
1710646299,-0.9668,232,29.56119719
1710646300,-0.5914,232,29.69970862
1710646301,-0.6984,232,29.83753333
1710646302,-0.9986,232,29.97468142
1710646303,0.2873,232,30.11116275
1710646304,-0.7075,232,30.24698697
1710646305,3.5737,232,30.38216348
1710646306,-0.7854,232,30.51670145
1710646307,-0.2672,232,30.65060986
1710646308,-0.6226,232,30.78389745
1710646309,-0.8521,232,30.91657279
1710646310,-0.5627,232,31.04864423
1710646311,2.5775,232,31.18011995
1710646312,1.587,232,31.31100794
1710646313,-0.3501,232,31.44131602
1710646314,2.6552,232,31.57105181
1710646315,3.5835,232,31.70022281
1710646316,-0.9537,232,31.82883631
1710646317,-0.169,232,31.95689949
1710646318,0.1097,232,32.08441934
1710646319,0.1734,232,32.21140273
1710646320,1.4924,232,32.33785636
1710646321,-0.6997,232,32.46378681
1710646322,-0.8752,232,32.58920053
1710646323,-0.9997,232,32.71410383
1710646324,-0.1167,232,32.83850288
1710646325,3.4801,232,32.96240375
1710646326,-0.9193,232,33.08581237
1710646327,-0.9933,232,33.20873457
1710646328,-0.5201,232,33.33117606
1710646329,-0.8882,232,33.45314242
1710646330,-0.9422,232,33.57463915
1710646331,-0.6664,232,33.69567163
1710646332,0.1468,232,33.81624515
1710646333,0.5716,232,33.93636489
1710646334,-0.4677,232,34.05603592
1710646335,0.8317,232,34.17526326
1710646336,-0.9646,232,34.29405178
1710646337,-0.9878,232,34.41240631
1710646338,-0.7916,232,34.53033157
1710646339,-0.673,232,34.64783219
1710646340,-0.7612,232,34.76491273
1710646341,-0.9448,232,34.88157766
1710646342,0.2728,232,34.99783139
1710646343,-0.7064,232,35.11367821
1710646344,-0.9504,232,35.22912239
1710646345,-0.8296,232,35.34416809
1710646346,-0.9817,232,35.4588194
1710646347,-0.9843,232,35.57308037
1710646348,-0.4594,232,35.68695493
1710646349,0.2975,232,35.800447
1710646350,0.0389,232,35.9135604
1710646351,0.2415,232,36.0262989
1710646352,-0.7004,232,36.13866619
1710646353,-0.0309,232,36.25066593
1710646354,-0.3057,232,36.36230169
1710646355,-0.9883,232,36.473577
1710646356,-0.9126,232,36.58449533
1710646357,-0.5608,232,36.6950601
1710646358,-0.8288,232,36.80527466
1710646359,-0.9896,232,36.91514233
1710646360,-0.7707,232,37.02466635
1710646361,-0.8609,232,37.13384993
1710646362,1.2456,232,37.24269624
1710646363,0.7657,232,37.35120836
1710646364,-0.9333,232,37.45938937
1710646365,3.4628,232,37.56724227
1710646366,-0.5255,232,37.67477004
1710646367,-0.6566,232,37.78197559
1710646368,2.1929,232,37.88886182
1710646369,-0.414,232,37.99543154
1710646370,-0.6939,232,38.10168756
1710646371,-0.6783,232,38.20763264
1710646372,2.0203,232,38.31326948
1710646373,-0.9704,232,38.41860076
1710646374,1.9772,232,38.52362913
1710646375,-0.8395,232,38.62835717
1710646376,-0.0373,232,38.73278744
1710646377,-0.5484,232,38.83692248
1710646378,-0.9677,232,38.94076478
1710646379,-0.3853,232,39.04431679
1710646380,0.422,232,39.14758092
1710646381,-0.9746,232,39.25055958
1710646382,-0.8235,232,39.35325511
1710646383,-0.6416,232,39.45566983
1710646384,-0.9697,232,39.55780604
1710646385,-0.9985,232,39.659666
1710646386,-0.9753,232,39.76125194
1710646387,-0.596,232,39.86256605
1710646388,-0.9496,232,39.96361051
1710646389,-0.3582,232,40.06438746
1710646390,-0.949,232,40.16489901
1710646391,0.0921,232,40.26514725
1710646392,-0.3029,232,40.36513423
1710646393,-0.6788,232,40.464862
1710646394,-0.5131,232,40.56433255
1710646395,-0.9982,232,40.66354786
1710646396,-0.5906,232,40.7625099
1710646397,1.3382,232,40.86122059
1710646398,-0.8062,232,40.95968183
1710646399,-0.8953,232,41.05789551
1710646400,-0.0906,232,41.15586348
1710646401,-0.9223,232,41.25358758
1710646402,0.8538,232,41.35106963
1710646403,-0.8958,232,41.44831141
1710646404,0.2789,232,41.54531469
1710646405,-0.658,232,41.64208122
1710646406,0.8151,232,41.73861272
1710646407,0.0898,232,41.83491089
1710646408,1.7146,232,41.93097743
1710646409,3.4561,232,42.02681399
1710646410,-0.7978,232,42.12242222
1710646411,2.5188,232,42.21780374
1710646412,-0.7799,232,42.31296015
1710646413,-0.657,232,42.40789306
1710646414,-0.9036,232,42.50260401
1710646415,1.8153,232,42.59709456
1710646416,-0.3592,232,42.69136625
1710646417,-0.4407,232,42.78542058
1710646418,-0.6784,232,42.87925906
1710646419,2.6053,232,42.97288315
1710646420,-0.2083,232,43.06629434
1710646421,-0.9655,232,43.15949405
1710646422,-0.9405,232,43.25248373
1710646423,-0.7722,232,43.34526478
1710646424,-0.188,232,43.4378386
1710646425,-0.3618,232,43.53020658
1710646426,0.386,232,43.62237009
1710646427,-0.6239,232,43.71433046
1710646428,-0.5275,232,43.80608905
1710646429,-0.4699,232,43.89764717
1710646430,-0.6557,232,43.98900614
